Order_ID,Order_Date,CustomerName,State,City,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25681,2018-06-04 00:00:00.0000000,Bhawna,Madhya Pradesh,Indore,1625,-77,3,Electronics,Phones,EMI
B-25991,2018-02-03 00:00:00.0000000,Mansi,Madhya Pradesh,Indore,13,5,2,Clothing,Hankerchief,UPI
B-25779,2018-09-12 00:00:00.0000000,Savi,Maharashtra,Pune,1361,980,3,Furniture,Tables,COD
B-25909,2018-12-13 00:00:00.0000000,Sujay,Maharashtra,Pune,1622,-448,3,Electronics,Phones,EMI
B-25943,2018-01-09 00:00:00.0000000,Shardul,Gujarat,Ahmedabad,1547,340,6,Electronics,Accessories,EMI
B-25935,2018-01-04 00:00:00.0000000,Sudhir,Nagaland,Kohima,1657,460,4,Furniture,Chairs,Credit Card
B-25613,2018-04-12 00:00:00.0000000,Mohan,Haryana,Chandigarh,1603,0,9,Clothing,Saree,Credit Card
B-25729,2018-07-22 00:00:00.0000000,Madhulika,Madhya Pradesh,Bhopal,1549,-439,4,Electronics,Phones,Credit Card
B-25772,2018-09-02 00:00:00.0000000,Sanjana,Bihar,Patna,1183,106,4,Electronics,Printers,EMI
B-25655,2018-05-11 00:00:00.0000000,Nida,Madhya Pradesh,Indore,74,-123,8,Clothing,Skirt,UPI
B-25640,2018-04-27 00:00:00.0000000,Paridhi,Rajasthan,Jaipur,1499,239,13,Clothing,Saree,Credit Card
B-25810,2018-10-10 00:00:00.0000000,Nripraj,Punjab,Chandigarh,1120,199,6,Clothing,Saree,EMI
B-25801,2018-10-01 00:00:00.0000000,Aryan,Madhya Pradesh,Bhopal,15,-2,1,Clothing,T-shirt,Debit Card
B-26085,2018-03-26 00:00:00.0000000,Shrichand,Punjab,Chandigarh,1487,624,3,Clothing,Trousers,Credit Card
B-25868,2018-11-18 00:00:00.0000000,Vikash,Goa,Goa,1118,206,2,Furniture,Tables,Credit Card
B-25714,2018-07-09 00:00:00.0000000,Stuti,Karnataka,Bangalore,11,-5,2,Clothing,Hankerchief,COD
B-25784,2018-09-15 00:00:00.0000000,Rohit,Rajasthan,Jaipur,15,4,1,Clothing,Hankerchief,Debit Card
B-25608,2018-04-08 00:00:00.0000000,Aarushi,Tamil Nadu,Chennai,1364,1864,5,Furniture,Tables,Credit Card
B-26051,2018-03-07 00:00:00.0000000,Parishi,West Bengal,Kolkata,1337,147,7,Electronics,Printers,Credit Card
B-25900,2018-12-09 00:00:00.0000000,Anand,Punjab,Amritsar,15,2,1,Clothing,Leggings,Debit Card
B-25760,2018-08-24 00:00:00.0000000,Pooja,Goa,Goa,322,-193,5,Electronics,Printers,UPI
B-25762,2018-08-26 00:00:00.0000000,Anudeep,Madhya Pradesh,Indore,1316,527,7,Electronics,Electronic Games,Credit Card
B-25995,2018-02-04 00:00:00.0000000,Yohann,Delhi,Delhi,1314,342,3,Furniture,Bookcases,Credit Card
B-25965,2018-01-21 00:00:00.0000000,Saloni,West Bengal,Kolkata,17,7,3,Clothing,Hankerchief,Debit Card
B-25967,2018-01-21 00:00:00.0000000,Sudevi,Uttar Pradesh,Prayagraj,17,2,2,Clothing,Skirt,Debit Card
B-25674,2018-05-28 00:00:00.0000000,Mahima,Maharashtra,Pune,17,-12,5,Clothing,Skirt,Debit Card
B-25929,2018-01-02 00:00:00.0000000,Girase,Kerala ,Thiruvananthapuram,1308,536,3,Furniture,Bookcases,Credit Card
B-25777,2018-09-10 00:00:00.0000000,Aditi,Madhya Pradesh,Indore,1076,-38,4,Electronics,Printers,Credit Card
B-26006,2018-02-09 00:00:00.0000000,Arpita,Karnataka,Bangalore,1301,573,5,Electronics,Accessories,Credit Card
B-25697,2018-06-22 00:00:00.0000000,Vijay,Jammu and Kashmir,Kashmir,1300,-16,8,Electronics,Printers,Credit Card
B-25667,2018-05-23 00:00:00.0000000,Anjali,Haryana,Chandigarh,11,-2,4,Clothing,Hankerchief,COD
B-25836,2018-10-29 00:00:00.0000000,Arti,Maharashtra,Pune,1298,65,9,Electronics,Printers,EMI
B-25984,2018-01-30 00:00:00.0000000,Kajal,Delhi,Delhi,304,97,6,Clothing,Stole,UPI
B-25728,2018-07-22 00:00:00.0000000,Ameesha,Maharashtra,Pune,1055,264,4,Electronics,Printers,EMI
B-25757,2018-08-21 00:00:00.0000000,Vishakha,Madhya Pradesh,Indore,17,-13,4,Clothing,Skirt,Debit Card
B-25957,2018-01-18 00:00:00.0000000,Mahima,Madhya Pradesh,Indore,147,73,3,Clothing,Stole,COD
B-26061,2018-03-14 00:00:00.0000000,Anurag,Madhya Pradesh,Indore,965,-68,3,Electronics,Printers,COD
B-25735,2018-07-30 00:00:00.0000000,Arindam,Uttar Pradesh,Lucknow,12,-2,3,Clothing,Hankerchief,COD
B-25616,2018-04-15 00:00:00.0000000,Kanak,Goa,Goa,14,-2,3,Clothing,Hankerchief,UPI
B-25666,2018-05-22 00:00:00.0000000,Tanvi,Punjab,Chandigarh,934,-916,7,Electronics,Electronic Games,COD
B-25675,2018-05-31 00:00:00.0000000,Shreya,Madhya Pradesh,Bhopal,929,-93,9,Clothing,Saree,COD
B-26079,2018-03-22 00:00:00.0000000,Hazel,Karnataka,Bangalore,18,3,2,Clothing,Hankerchief,Debit Card
B-25850,2018-11-05 00:00:00.0000000,Abhishek,Goa,Goa,916,192,11,Electronics,Phones,COD
B-25693,2018-06-18 00:00:00.0000000,Parna,Madhya Pradesh,Bhopal,76,-72,9,Clothing,Hankerchief,COD
B-25852,2018-11-07 00:00:00.0000000,Soumyabrata,Andhra Pradesh,Hyderabad,869,67,4,Furniture,Tables,COD
B-25860,2018-11-15 00:00:00.0000000,Akshay,Tamil Nadu,Chennai,112,24,3,Clothing,Kurti,COD
B-25853,2018-11-08 00:00:00.0000000,Gaurav,Gujarat,Ahmedabad,39,16,6,Clothing,Skirt,UPI
B-25898,2018-12-07 00:00:00.0000000,Abhishek,Rajasthan,Udaipur,857,-274,2,Furniture,Tables,COD
B-26100,2018-03-31 00:00:00.0000000,Hitika,Madhya Pradesh,Indore,828,230,2,Furniture,Chairs,COD
B-25653,2018-05-08 00:00:00.0000000,Farah,Nagaland,Kohima,1279,-640,8,Electronics,Printers,EMI
B-25839,2018-10-30 00:00:00.0000000,Pranjali,West Bengal,Kolkata,1250,486,7,Clothing,Saree,EMI
B-25651,2018-05-07 00:00:00.0000000,Anurag,Madhya Pradesh,Indore,823,-18,7,Furniture,Chairs,COD
B-25957,2018-01-18 00:00:00.0000000,Mahima,Madhya Pradesh,Indore,1157,-13,9,Furniture,Bookcases,Credit Card
B-25704,2018-06-29 00:00:00.0000000,Riya,Maharashtra,Mumbai,126,-63,3,Electronics,Accessories,UPI
B-25730,2018-07-22 00:00:00.0000000,Rishabh,Rajasthan,Jaipur,1145,-706,3,Electronics,Phones,Credit Card
B-26052,2018-03-08 00:00:00.0000000,Ajay,Karnataka,Bangalore,774,170,3,Electronics,Accessories,COD
B-25656,2018-05-11 00:00:00.0000000,Priyanka,Maharashtra,Pune,24,-1,2,Clothing,Hankerchief,COD
B-26033,2018-02-22 00:00:00.0000000,Atharv,West Bengal,Kolkata,774,170,3,Electronics,Accessories,COD
B-25850,2018-11-05 00:00:00.0000000,Abhishek,Goa,Goa,93,-1,2,Clothing,Hankerchief,COD
B-25945,2018-01-11 00:00:00.0000000,Mhatre,Madhya Pradesh,Indore,765,-36,3,Electronics,Electronic Games,COD
B-26086,2018-03-26 00:00:00.0000000,Mukesh,Haryana,Chandigarh,762,101,6,Electronics,Printers,COD
B-25752,2018-08-14 00:00:00.0000000,Vaibhav,Madhya Pradesh,Indore,761,266,9,Electronics,Electronic Games,COD
B-26098,2018-03-29 00:00:00.0000000,Pinky,Jammu and Kashmir,Kashmir,96,-48,5,Clothing,Leggings,UPI
B-26067,2018-03-16 00:00:00.0000000,Tulika,Madhya Pradesh,Bhopal,1137,-14,7,Electronics,Printers,EMI
B-25730,2018-07-22 00:00:00.0000000,Rishabh,Rajasthan,Jaipur,18,8,2,Clothing,Hankerchief,Debit Card
B-25986,2018-01-31 00:00:00.0000000,Shweta,Rajasthan,Udaipur,749,-307,7,Furniture,Furnishings,COD
B-26067,2018-03-16 00:00:00.0000000,Tulika,Madhya Pradesh,Bhopal,1120,199,6,Clothing,Saree,EMI
B-25953,2018-01-14 00:00:00.0000000,Krutika,Andhra Pradesh,Hyderabad,744,119,6,Electronics,Printers,COD
B-25952,2018-01-13 00:00:00.0000000,Priyanka,Madhya Pradesh,Indore,14,0,4,Clothing,Hankerchief,UPI
B-25903,2018-12-10 00:00:00.0000000,Amlan,Madhya Pradesh,Indore,19,8,2,Clothing,Hankerchief,Debit Card
B-25650,2018-05-06 00:00:00.0000000,Chirag,Maharashtra,Mumbai,512,-225,5,Clothing,Saree,COD
B-25970,2018-01-22 00:00:00.0000000,Rhea,Maharashtra,Mumbai,742,198,2,Furniture,Bookcases,COD
B-26062,2018-03-15 00:00:00.0000000,Tushina,Goa,Goa,44,-40,3,Clothing,Stole,COD
B-25643,2018-04-29 00:00:00.0000000,Kirti,Jammu and Kashmir,Kashmir,1061,-36,8,Furniture,Bookcases,EMI
B-25632,2018-04-25 00:00:00.0000000,Manish,Himachal Pradesh,Simla,19,-2,2,Clothing,Leggings,Debit Card
B-25821,2018-10-16 00:00:00.0000000,Ajay,West Bengal,Kolkata,17,0,1,Clothing,Hankerchief,COD
B-25878,2018-11-24 00:00:00.0000000,Mrinal,Maharashtra,Mumbai,741,267,5,Furniture,Bookcases,COD
B-25752,2018-08-14 00:00:00.0000000,Vaibhav,Madhya Pradesh,Indore,735,-235,6,Electronics,Printers,COD
B-25750,2018-08-14 00:00:00.0000000,Priyanshu,Madhya Pradesh,Indore,19,-1,1,Clothing,Shirt,Debit Card
B-25657,2018-05-13 00:00:00.0000000,Tulika,Madhya Pradesh,Bhopal,1021,-48,4,Electronics,Electronic Games,EMI
B-25787,2018-09-20 00:00:00.0000000,Asish,Jammu and Kashmir,Kashmir,556,-209,7,Clothing,Saree,COD
B-25808,2018-10-08 00:00:00.0000000,Apsingekar,Bihar,Patna,63,-17,6,Clothing,Leggings,COD
B-25885,2018-11-28 00:00:00.0000000,Shatayu,Madhya Pradesh,Indore,734,248,2,Furniture,Chairs,COD
B-25778,2018-09-11 00:00:00.0000000,Surabhi,Maharashtra,Mumbai,933,166,5,Clothing,Saree,Credit Card
B-25759,2018-08-23 00:00:00.0000000,Soumya,Sikkim,Gangtok,20,-9,6,Clothing,Hankerchief,Debit Card
B-25747,2018-08-11 00:00:00.0000000,Harsh,Madhya Pradesh,Bhopal,877,395,2,Furniture,Bookcases,Credit Card
B-25878,2018-11-24 00:00:00.0000000,Mrinal,Maharashtra,Mumbai,719,303,6,Furniture,Chairs,COD
B-25603,2018-04-03 00:00:00.0000000,Jahan,Madhya Pradesh,Bhopal,12,1,2,Clothing,Hankerchief,COD
B-25691,2018-06-16 00:00:00.0000000,Akancha,Maharashtra,Mumbai,714,56,4,Clothing,Saree,COD
B-25607,2018-04-06 00:00:00.0000000,Sonakshi,Jammu and Kashmir,Kashmir,50,-15,4,Clothing,Leggings,COD
B-25708,2018-07-01 00:00:00.0000000,Kishwar,Madhya Pradesh,Indore,709,-100,5,Electronics,Phones,COD
B-26021,2018-02-17 00:00:00.0000000,Anita,Kerala ,Thiruvananthapuram,21,-12,3,Clothing,Hankerchief,Debit Card
B-25831,2018-10-27 00:00:00.0000000,Mahima,Sikkim,Gangtok,693,254,6,Clothing,Saree,COD
B-25850,2018-11-05 00:00:00.0000000,Abhishek,Goa,Goa,24,1,4,Clothing,Hankerchief,COD
B-25670,2018-05-25 00:00:00.0000000,Charika,Goa,Goa,24,1,2,Clothing,Hankerchief,UPI
B-25852,2018-11-07 00:00:00.0000000,Soumyabrata,Andhra Pradesh,Hyderabad,24,1,2,Clothing,Hankerchief,COD
B-26029,2018-02-20 00:00:00.0000000,Ramesh,Gujarat,Ahmedabad,21,10,1,Clothing,T-shirt,Debit Card
B-25959,2018-01-18 00:00:00.0000000,Muskan,Madhya Pradesh,Indore,681,259,4,Furniture,Chairs,COD
B-25676,2018-06-01 00:00:00.0000000,Chandni,Rajasthan,Jaipur,674,-187,2,Furniture,Tables,COD
B-26097,2018-03-28 00:00:00.0000000,Vini,Karnataka,Bangalore,671,-309,5,Electronics,Electronic Games,COD
B-25888,2018-12-02 00:00:00.0000000,Rohan,Punjab,Amritsar,646,-213,3,Electronics,Electronic Games,COD
B-25911,2018-12-15 00:00:00.0000000,Phalguni,Madhya Pradesh,Bhopal,40,15,1,Clothing,Kurti,COD
B-25662,2018-05-17 00:00:00.0000000,Sweta,Maharashtra,Mumbai,24,-2,2,Clothing,T-shirt,COD
B-25950,2018-01-13 00:00:00.0000000,Shruti,Madhya Pradesh,Indore,644,167,2,Electronics,Printers,COD
B-25847,2018-11-03 00:00:00.0000000,Aniket,Haryana,Chandigarh,643,225,2,Electronics,Printers,COD
B-25796,2018-09-24 00:00:00.0000000,Sukrith,Maharashtra,Mumbai,632,-316,6,Clothing,Saree,COD
B-25693,2018-06-18 00:00:00.0000000,Parna,Madhya Pradesh,Bhopal,632,316,6,Clothing,Saree,COD
B-25993,2018-02-03 00:00:00.0000000,Madhav,Delhi,Delhi,610,208,3,Electronics,Printers,COD
B-26052,2018-03-08 00:00:00.0000000,Ajay,Karnataka,Bangalore,78,-28,6,Clothing,Kurti,UPI
B-25930,2018-01-03 00:00:00.0000000,Monica,Punjab,Chandigarh,595,119,4,Furniture,Bookcases,COD
B-25785,2018-09-15 00:00:00.0000000,Ayush,West Bengal,Kolkata,595,292,3,Clothing,Saree,COD
B-26093,2018-03-27 00:00:00.0000000,Sarita,Maharashtra,Pune,852,51,5,Furniture,Bookcases,Credit Card
B-26053,2018-03-09 00:00:00.0000000,Kirti,Jammu and Kashmir,Kashmir,594,89,3,Furniture,Bookcases,COD
B-26019,2018-02-15 00:00:00.0000000,Jitesh,Uttar Pradesh,Lucknow,585,175,13,Clothing,T-shirt,COD
B-26070,2018-03-18 00:00:00.0000000,Shruti,Karnataka,Bangalore,582,262,5,Furniture,Furnishings,COD
B-25870,2018-11-20 00:00:00.0000000,Pranav,Andhra Pradesh,Hyderabad,845,84,7,Clothing,Saree,Credit Card
B-25855,2018-11-08 00:00:00.0000000,Abhijeet,Madhya Pradesh,Bhopal,829,19,4,Electronics,Printers,Credit Card
B-25602,2018-04-01 00:00:00.0000000,Vrinda,Maharashtra,Pune,561,212,3,Clothing,Saree,COD
B-25728,2018-07-22 00:00:00.0000000,Ameesha,Maharashtra,Pune,771,-424,2,Electronics,Phones,Credit Card
B-25803,2018-10-05 00:00:00.0000000,Shivanshu,Madhya Pradesh,Indore,765,8,6,Clothing,Saree,EMI
B-25996,2018-02-04 00:00:00.0000000,Prashant,Delhi,Delhi,31,2,2,Clothing,Hankerchief,COD
B-26078,2018-03-22 00:00:00.0000000,Kasheen,West Bengal,Kolkata,557,-111,2,Electronics,Electronic Games,COD
B-25803,2018-10-05 00:00:00.0000000,Shivanshu,Madhya Pradesh,Indore,757,371,2,Electronics,Printers,Credit Card
B-25682,2018-06-07 00:00:00.0000000,Krutika,Bihar,Patna,545,-73,11,Electronics,Phones,COD
B-25749,2018-08-13 00:00:00.0000000,Ayush,Maharashtra,Mumbai,1052,-82,3,Furniture,Bookcases,UPI
B-25962,2018-01-19 00:00:00.0000000,Tejeswini,Maharashtra,Pune,544,-152,3,Furniture,Bookcases,COD
B-25899,2018-12-08 00:00:00.0000000,Aishwarya,Uttar Pradesh,Prayagraj,22,9,2,Clothing,Leggings,Debit Card
B-25845,2018-11-03 00:00:00.0000000,Snel,Kerala ,Thiruvananthapuram,757,371,2,Electronics,Printers,Credit Card
B-25951,2018-01-13 00:00:00.0000000,Jesal,West Bengal,Kolkata,742,198,2,Furniture,Bookcases,Credit Card
B-25828,2018-10-24 00:00:00.0000000,Nikita,Punjab,Chandigarh,537,107,3,Clothing,Saree,COD
B-25803,2018-10-05 00:00:00.0000000,Shivanshu,Madhya Pradesh,Indore,536,91,1,Clothing,Trousers,COD
B-25656,2018-05-11 00:00:00.0000000,Priyanka,Maharashtra,Pune,6,3,1,Clothing,Hankerchief,COD
B-25681,2018-06-04 00:00:00.0000000,Bhawna,Madhya Pradesh,Indore,523,204,7,Clothing,Trousers,COD
B-25658,2018-05-14 00:00:00.0000000,Shefali,Rajasthan,Jaipur,27,9,2,Clothing,T-shirt,UPI
B-25698,2018-06-23 00:00:00.0000000,Amisha,Tamil Nadu,Chennai,516,392,8,Furniture,Chairs,COD
B-25832,2018-10-28 00:00:00.0000000,Harshita,Maharashtra,Mumbai,504,116,3,Furniture,Bookcases,COD
B-25886,2018-11-28 00:00:00.0000000,Brijesh,Rajasthan,Udaipur,502,84,4,Electronics,Phones,COD
B-25897,2018-12-06 00:00:00.0000000,Rohan,Madhya Pradesh,Indore,734,213,6,Electronics,Electronic Games,Credit Card
B-25873,2018-11-23 00:00:00.0000000,Divyeta,Madhya Pradesh,Indore,42,12,2,Clothing,Kurti,COD
B-25858,2018-11-13 00:00:00.0000000,Uudhav,Maharashtra,Mumbai,29,11,4,Clothing,Skirt,COD
B-25867,2018-11-17 00:00:00.0000000,Ankit,Sikkim,Gangtok,240,12,6,Clothing,Kurti,UPI
B-25633,2018-04-26 00:00:00.0000000,Amit,Sikkim,Gangtok,496,-79,2,Clothing,Trousers,COD
B-25609,2018-04-09 00:00:00.0000000,Jitesh,Uttar Pradesh,Lucknow,485,29,4,Electronics,Electronic Games,COD
B-25896,2018-12-05 00:00:00.0000000,Aman,Maharashtra,Mumbai,31,-11,3,Clothing,Skirt,UPI
B-26000,2018-02-06 00:00:00.0000000,Shubham,Delhi,Delhi,676,151,3,Electronics,Printers,Credit Card
B-25959,2018-01-18 00:00:00.0000000,Muskan,Madhya Pradesh,Indore,23,8,2,Clothing,Hankerchief,Debit Card
B-25940,2018-01-06 00:00:00.0000000,Vivek,Goa,Goa,13,3,2,Clothing,Hankerchief,COD
B-26087,2018-03-26 00:00:00.0000000,Vandana,Himachal Pradesh,Simla,180,0,8,Clothing,Stole,COD
B-26055,2018-03-10 00:00:00.0000000,Harivansh,Uttar Pradesh,Mathura,671,114,9,Electronics,Phones,Credit Card
B-25980,2018-01-27 00:00:00.0000000,Shweta,Rajasthan,Udaipur,22,11,3,Clothing,Kurti,COD
B-25653,2018-05-08 00:00:00.0000000,Farah,Nagaland,Kohima,668,-31,3,Electronics,Printers,Credit Card
B-26052,2018-03-08 00:00:00.0000000,Ajay,Karnataka,Bangalore,145,0,3,Clothing,Saree,UPI
B-25877,2018-11-24 00:00:00.0000000,Dashyam,Gujarat,Surat,24,8,2,Clothing,Skirt,Debit Card
B-25608,2018-04-08 00:00:00.0000000,Aarushi,Tamil Nadu,Chennai,476,0,3,Furniture,Chairs,COD
B-25897,2018-12-06 00:00:00.0000000,Rohan,Madhya Pradesh,Indore,24,11,5,Clothing,Hankerchief,Debit Card
B-25881,2018-11-25 00:00:00.0000000,Lalita,Uttar Pradesh,Mathura,37,3,3,Clothing,Hankerchief,COD
B-25905,2018-12-11 00:00:00.0000000,Bhargav,Delhi,Delhi,152,50,6,Clothing,Stole,UPI
B-25818,2018-10-14 00:00:00.0000000,Sandeep,Madhya Pradesh,Indore,32,11,2,Clothing,Leggings,UPI
B-25835,2018-10-29 00:00:00.0000000,Moumita,Gujarat,Ahmedabad,52,11,5,Clothing,Leggings,COD
B-26081,2018-03-22 00:00:00.0000000,Aarushi,Tamil Nadu,Chennai,24,11,3,Clothing,Hankerchief,Debit Card
B-25730,2018-07-22 00:00:00.0000000,Rishabh,Rajasthan,Jaipur,473,42,4,Furniture,Chairs,COD
B-25837,2018-10-29 00:00:00.0000000,Palak,Maharashtra,Mumbai,263,50,5,Clothing,Stole,COD
B-25893,2018-12-04 00:00:00.0000000,Vrinda,Uttar Pradesh,Mathura,61,11,3,Clothing,Kurti,COD
B-25689,2018-06-14 00:00:00.0000000,Bhaggyasree,Maharashtra,Mumbai,469,-459,3,Electronics,Electronic Games,COD
B-26028,2018-02-20 00:00:00.0000000,Manju,Andhra Pradesh,Hyderabad,1272,547,2,Electronics,Phones,COD
B-26081,2018-03-22 00:00:00.0000000,Aarushi,Tamil Nadu,Chennai,169,0,3,Electronics,Accessories,COD
B-25903,2018-12-10 00:00:00.0000000,Amlan,Madhya Pradesh,Indore,25,11,3,Clothing,Leggings,Debit Card
B-25651,2018-05-07 00:00:00.0000000,Anurag,Madhya Pradesh,Indore,457,-41,4,Clothing,Saree,COD
B-25903,2018-12-10 00:00:00.0000000,Amlan,Madhya Pradesh,Indore,455,77,8,Electronics,Accessories,COD
B-26086,2018-03-26 00:00:00.0000000,Mukesh,Haryana,Chandigarh,25,2,2,Clothing,Hankerchief,Debit Card
B-25654,2018-05-10 00:00:00.0000000,Sabah,Maharashtra,Mumbai,450,-90,3,Electronics,Printers,COD
B-25720,2018-07-15 00:00:00.0000000,Namrata,Punjab,Chandigarh,30,-35,1,Furniture,Chairs,COD
B-26057,2018-03-10 00:00:00.0000000,Sharda,Kerala ,Thiruvananthapuram,659,-37,2,Furniture,Bookcases,Credit Card
B-25798,2018-10-01 00:00:00.0000000,Shishu,Andhra Pradesh,Hyderabad,448,148,2,Electronics,Printers,COD
B-25961,2018-01-18 00:00:00.0000000,Surbhi,Gujarat,Ahmedabad,446,53,3,Electronics,Printers,COD
B-25701,2018-06-26 00:00:00.0000000,Maithilee,Madhya Pradesh,Indore,98,-45,2,Furniture,Chairs,UPI
B-26055,2018-03-10 00:00:00.0000000,Harivansh,Uttar Pradesh,Mathura,443,11,1,Clothing,Saree,COD
B-25653,2018-05-08 00:00:00.0000000,Farah,Nagaland,Kohima,427,-50,7,Electronics,Phones,COD
B-25670,2018-05-25 00:00:00.0000000,Charika,Goa,Goa,656,-36,2,Furniture,Bookcases,Credit Card
B-26056,2018-03-10 00:00:00.0000000,Sonal,Bihar,Patna,424,161,2,Clothing,Saree,COD
B-26061,2018-03-14 00:00:00.0000000,Anurag,Madhya Pradesh,Indore,27,8,2,Clothing,T-shirt,Debit Card
B-25602,2018-04-01 00:00:00.0000000,Vrinda,Maharashtra,Pune,424,-272,5,Electronics,Phones,COD
B-26016,2018-02-14 00:00:00.0000000,Hazel,Karnataka,Bangalore,202,4,4,Clothing,Hankerchief,COD
B-25873,2018-11-23 00:00:00.0000000,Divyeta,Madhya Pradesh,Indore,1275,357,2,Electronics,Phones,UPI
